,feature,importance
2598,CG14957,0.033354685
12557,Spt-I,0.03328003
6375,CG6462,0.033231303
4601,CG33947,0.033187583
11497,Qtzl,0.033159968
1868,CG13215,0.03314347
257,Amnionless,0.03311666
6161,CG5644,0.033100966
654,BomS2,0.03309988
11840,RpL39,0.033088844
1675,CG12730,0.03302739
3895,CG31370,0.03300799
2499,CG14695,0.03291922
4492,CG33468,0.032860044
8082,dsx,0.03281156
4087,CG31955,0.032769118
12512,spn-D,0.03272347
3087,CG17134,0.032675367
3595,CG30022,0.032640114
7976,DNaseII,0.032617234
9320,isoQC,0.03261494
5,Tissue_Brain,0.032607105
451,atk,0.032575857
13386,veli,0.032571312
11953,rumi,0.03251545
8166,Edg78E,0.032494914
12290,Sirup,0.0324811
6754,CG7900,0.032450616
6537,CG7130,0.032448445
7610,Crz,0.032329585
13428,viaf,0.032128997
11502,r-l,0.032126285
7351,Cht2,0.032089442
13619,yps,0.03205532
6670,CG7568,0.03204336
11878,RpS12,0.03203061
9531,l(2)k05911,0.03202579
11901,RpS29,0.031875487
216,Alp8,0.031838518
8321,Ercc1,0.03182413
9490,Ku80,0.031818073
3694,CG30345,0.03179457
3239,CG17752,0.03174041
6997,CG8852,0.03167907
1031,CG10361,0.031576578
4101,CG32023,0.031550445
2817,CG15533,0.03150665
2916,CG15818,0.031483643
12441,Sodh-1,0.031444475
2365,CG14401,0.031424638
577,Bet1,0.031417247
177,Akh,0.031397104
6870,CG8299,0.031385545
13618,Yp3,0.031364866
6318,CG6231,0.03135897
6799,CG8046,0.031348173
2168,CG13946,0.031324174
7001,CG8861,0.03129188
13582,XRCC1,0.031287856
7121,CG9377,0.031240188
11942,RtcB,0.031194752
347,Argl,0.031164557
6231,CG5897,0.031136211
2264,CG14187,0.031134624
4445,CG3328,0.031110581
9279,Ir75a,0.031094043
1776,CG13033,0.03106325
11893,RpS24,0.030959819
9231,Inx2,0.03095367
9786,Map205,0.03088223
409,asrij,0.030831773
1,Sex_Male,0.030829173
3429,CG18853,0.030815193
277,Ance-5,0.030813446
9666,LManIII,0.03067762
1911,CG13313,0.030655522
11985,sad,0.030542642
5526,CG43351,0.030542418
11680,rho,0.030485
12414,sNPF,0.030463275
1832,CG13117,0.030379297
1445,CG11882,0.03030826
10206,MtnC,0.030298648
292,AnxB11,0.030297218
9570,LanB1,0.030260624
9504,l(1)G0193,0.03023654
8725,GNBP-like3,0.030208891
9600,Lcp65Ag2,0.030166509
11716,Rift,0.03007459
2266,CG14191,0.030062268
1798,CG13060,0.03004678
13320,Unr,0.030038625
6771,CG7968,0.030023267
3183,CG17544,0.030006599
13623,ytr,0.029993437
10202,Mtl,0.029949524
730,bw,0.029915858
11422,psh,0.02987031
1156,CG10864,0.029865894
5666,CG44004,0.029835243
11597,Rbp9,0.02975658
3509,CG2277,0.029742304
8657,Gen,0.029734515
170,AhcyL2,0.02972715
2565,CG14860,0.029588884
12781,tadr,0.029574659
2160,CG13924,0.029505728
4406,CG33158,0.029463442
9117,Hug,0.029447455
13298,Ugt49C1,0.029353581
8641,Gdh,0.029348174
6350,CG6357,0.02933915
13094,Tsf1,0.02930515
10564,Npc2g,0.029256154
10419,Nepl14,0.02925461
1100,CG10621,0.029253822
12738,Swim,0.029222418
1562,CG12310,0.029213516
412,AstA,0.029179266
8878,GstE8,0.0291711
7412,cnc,0.029168177
12116,Sec61beta,0.029159289
6948,CG8620,0.029148258
13468,Vps28,0.029099662
1074,CG10513,0.029087001
7502,Cp7Fc,0.029047439
9158,IFT20,0.029033115
663,bond,0.028987998
4745,CG34248,0.028982304
4276,CG32581,0.028961847
6696,CG7692,0.028961502
8506,Frl,0.028945357
653,BomS1,0.028923387
1813,CG13077,0.028906457
9176,Ilp5,0.028900426
3861,CG31262,0.028879216
10418,Nepl13,0.028871147
10204,MtnA,0.028860623
2492,CG14687,0.028854853
1054,CG10463,0.028823238
4612,CG33993,0.028781245
13547,Wnt2,0.028763516
7231,CG9766,0.028729023
12345,slp2,0.028728694
3976,CG31664,0.02871812
11670,Rh3,0.028716419
13119,Tsp42Ej,0.028637674
12811,Tango4,0.028618457
7541,Cpr62Bb,0.028601263
2917,CG1582,0.028593864
7136,CG9416,0.0285783
13294,Ugt37D1,0.028574936
7441,Col4a1,0.02857311
940,CG10031,0.028572021
12985,Tom,0.028562838
5265,CG42728,0.028533656
1449,CG11891,0.028513359
4725,CG34220,0.028474579
5097,CG42319,0.028470296
489,aurA,0.028462153
5333,CG42857,0.028452327
6082,CG5321,0.028446076
12635,sta,0.02842159
12307,SkpC,0.02841347
5842,CG4577,0.028403725
7000,CG8860,0.02840225
1436,CG11842,0.028397959
9775,Mal-A4,0.028376522
2583,CG14907,0.028355712
13194,TwdlV,0.028347403
10708,Obp83ef,0.02831421
7008,CG8908,0.028304895
6998,CG8854,0.02829229
6230,CG5895,0.028286263
4387,CG33107,0.02825593
7687,Cyp28a5,0.028229285
3512,CG2310,0.028197091
12274,simj,0.028193012
1213,CG11052,0.02818208
9374,Jon99Ciii,0.028159926
11338,pre-mod(mdg4)-E,0.02813538
10491,NK7.1,0.028132921
8730,Gnmt,0.028082268
2462,CG14629,0.028074522
5794,CG45078,0.028058123
10372,ND-B18,0.028010152
4710,CG34203,0.02800595
5459,CG43232,0.027999807
2596,CG14947,0.02794538
5454,CG43221,0.027941177
9540,l(3)05822,0.027939374
6211,CG5849,0.027914926
8706,GluRIIA,0.027900586
13400,Vha13,0.027894799
550,bdl,0.027829006
11839,RpL38,0.027823268
7717,Cyp4ae1,0.027819587
1175,CG1092,0.027808534
5254,CG42709,0.02779608
6325,CG6277,0.027787035
7731,Cyp4p2,0.027773619
2094,CG13737,0.027753256
7718,Cyp4c3,0.027729334
6105,CG5397,0.027723966
11369,pros,0.027708584
11170,Pisd,0.02770818
11827,RpL30,0.027697096
5462,CG43236,0.027688948
2653,CG15098,0.027680567
12394,SmydA-9,0.027670328
13565,wun2,0.027611842
3362,CG18473,0.027597873
3347,CG18343,0.027587594
8987,HIP-R,0.0275832
4447,CG33282,0.027540805
4588,CG33912,0.027519908
13287,Ugt36E1,0.027505856
8341,etaTry,0.027504288
11247,Pop5,0.027466655
5877,CG46303,0.02745174
10637,Nup58,0.02740799
12722,Surf1,0.027405215
3923,CG31469,0.027400138
9774,Mal-A3,0.027393037
6684,CG7637,0.027392881
6193,CG5773,0.027375896
11547,rad50,0.0273379
10757,opm,0.027326718
7929,disco-r,0.027325187
11345,pre-mod(mdg4)-N,0.027308088
33,AANAT1,0.027290724
9183,IM4,0.027284488
12139,Send2,0.027239364
2122,CG13833,0.02721156
2714,CG15254,0.027198926
11817,RpL23,0.027193267
1184,CG10947,0.027160034
7507,cpo,0.02715961
9215,insc,0.027124988
1508,CG12112,0.02712015
6917,CG8501,0.027112275
4505,CG33494,0.02711191
13113,Tsp42Ed,0.027103307
1325,CG11414,0.027072435
12374,Sms,0.027072007
1847,CG13155,0.027039606
13121,Tsp42El,0.026995232
11331,pre-lola-G,0.026972055
8618,Gbp3,0.026967783
8908,h,0.026936213
7489,COX7C,0.026934907
2370,CG1441,0.026928844
10603,Ntan1,0.026917458
13044,Tre1,0.026913717
6710,CG7737,0.026840486
3998,CG31706,0.026779752
8691,Gli,0.026774667
1959,CG13427,0.026762987
4488,CG33462,0.026751295
3700,CG3036,0.026743244
2489,CG1468,0.026740434
9147,Idgf3,0.026698023
11446,Ptr,0.026657054
2064,CG13679,0.026637888
1403,CG11710,0.02662929
8726,GNBP1,0.026566472
3401,CG18641,0.02656317
1050,CG10444,0.026554434
13064,trol,0.026550101
835,CBP,0.026546195
504,b,0.026544286
5091,CG42299,0.026541464
3668,CG30269,0.026524963
10676,Obp44a,0.026489029
7048,CG9095,0.026487118
658,BomS6,0.026468452
11781,Rpb12,0.026429001
9385,jv,0.026414322
11829,RpL32,0.026410975
878,cd,0.026396073
8252,Eip55E,0.026364252
9659,Lk,0.026350586
7292,CG9993,0.026349407
4115,CG32069,0.026325947
11382,Prosbeta1,0.02630371
12572,sqd,0.026303405
11323,PRAS40,0.026289163
4253,CG3251,0.026273364
8949,hec,0.02626277
5167,CG42518,0.026238149
10952,Patsas,0.026218051
2226,CG14089,0.026181722
2975,CG16721,0.026166948
9159,IFT43,0.026161445
1693,CG12824,0.02615056
5740,CG44476,0.026147159
13015,Tpc1,0.026144791
8258,Eip93F,0.02608028
269,ana,0.026054487
9086,Hsc70-3,0.026041286
415,AstC,0.02604066
1781,CG13041,0.02602546
13291,Ugt37A3,0.026025346
12986,Tom20,0.026015632
3207,CG17646,0.025982212
8264,Elba3,0.025982046
12406,snk,0.025977358
3619,CG3008,0.02597602
13286,Ugt36D1,0.025973747
1080,CG10553,0.025949875
13628,Zasp52,0.02593737
2992,CG16775,0.025903191
952,CG10073,0.025898417
10392,Ndg,0.025896072
11193,Pkg21D,0.025888238
2785,CG15449,0.025885096
7286,CG9967,0.02587125
6332,CG6294,0.025867462
11776,RpA-70,0.025863888
3148,CG17327,0.025860617
1668,CG12716,0.025850812
4038,CG31809,0.02585043
8552,fz2,0.02583879
7273,CG9922,0.025836883
9909,mew,0.025801552
2175,CG13965,0.025797011
994,CG10237,0.025796633
9569,LanA,0.025785746
5751,CG4462,0.025782203
12395,sn,0.02572527
8956,hemo,0.02570407
6291,CG6136,0.025696022
8410,Fcp3C,0.025687605
9242,Ipk2,0.025664523
9713,Lsm10,0.025647627
350,ari-1,0.025640026
9342,jeb,0.025630299
10669,Obp18a,0.025628474
7029,CG9005,0.02559142
6682,CG7632,0.0255703
4719,CG34213,0.02555957
6301,CG6171,0.025555955
13432,vig2,0.02555185
13339,Uro,0.025550082
436,Atg16,0.025500825
11809,RpL15,0.025495755
6468,CG6847,0.025458615
7595,crim,0.025455022
8876,GstE6,0.025429528
11965,RYBP,0.02540825
7590,CrebA,0.025398873
42,aay,0.02539605
4255,CG32521,0.025394708
12249,shu,0.025352996
10019,moody,0.02534748
6508,CG7011,0.025328977
6885,CG8343,0.025288008
7522,Cpr47Ee,0.025284361
298,AOX2,0.025259463
11876,RpS10b,0.025246017
5750,CG4461,0.025241416
1754,CG13000,0.025228975
3458,CG2016,0.02522617
5119,CG42361,0.025224503
3997,CG31705,0.025207445
1952,CG13404,0.025193367
8718,GlyS,0.02518623
3068,CG17068,0.025131194
9648,Lint-1,0.025129694
2666,CG15127,0.02511542
11924,Rrp42,0.025113823
7589,crc,0.025111936
5016,CG40298,0.025111597
10064,mRpL28,0.025109734
293,AnxB9,0.025107998
12524,Spn42Da,0.025099047
7603,CROT,0.025090503
6501,CG6983,0.025089791
3536,CG2681,0.025088143
5677,CG4407,0.02508379
2336,CG14329,0.02507692
3888,CG31345,0.025060318
10583,nrv3,0.025058134
1545,CG12239,0.025057627
8079,Dsk,0.0250347
7809,daw,0.025028683
11017,Peritrophin-15a,0.025026178
7668,CycC,0.025010506
12354,SmB,0.025002241
4288,CG32640,0.0249543
12692,sty,0.024949962
11811,RpL18,0.0249459
2113,CG13795,0.024907209
661,BomT3,0.024897663
6359,CG6414,0.024877947
8871,GstE14,0.024871709
475,ATPsynG,0.024871513
7973,DNApol-iota,0.024864348
12225,SH3PX1,0.024854485
12045,SCCRO4,0.024831928
5367,CG43071,0.024823176
10695,Obp57a,0.024812613
7210,CG9686,0.02480689
1787,CG13047,0.02479303
3170,CG17440,0.02477816
11813,RpL19,0.02473337
4133,CG32109,0.024703274
4951,CG3740,0.024700109
7905,Dif,0.024695912
6012,CG5059,0.02466925
5579,CG43679,0.024663052
3486,CG2157,0.024647793
2292,CG14246,0.0246314
4105,CG32036,0.024631323
6377,CG6470,0.024584193
11474,PyK,0.024571268
12317,SLC22A,0.024560144
8515,fs(1)h,0.024558038
8673,Gip,0.024554698
2568,CG14866,0.02452932
12732,svp,0.024518639
10845,Oseg4,0.024489008
8783,Gr47a,0.024482314
2243,CG14125,0.024468554
8679,gkt,0.024450395
11905,RpS4,0.024435084
11739,RNaseX25,0.02442763
10453,Nfs1,0.024418335
9603,lcs,0.024417974
8678,Gk2,0.024386425
10963,PCB,0.02438477
9692,Loxl2,0.024364822
10891,Oxp,0.024362495
7714,Cyp4ac2,0.024347646
10285,Naa30A,0.024342192
382,Art4,0.024340246
11298,ppk6,0.024337703
5363,CG43066,0.024337593
12527,Spn42Dd,0.024327435
7885,Dhc98D,0.024327334
1342,CG1146,0.024300085
63,Acbp4,0.024298843
4998,CG3984,0.024298595
7312,CheB38a,0.024292398
12082,sd,0.024254404
13538,whe,0.02425208
5253,CG42705,0.02422451
3607,CG30050,0.024216421
7184,CG9601,0.02420266
9391,Kal1,0.024195235
1346,CG11498,0.024194267
12956,TM4SF,0.024180602
4090,CG31974,0.02417104
2650,CG15093,0.024169216
9333,jagn,0.024168085
13357,Usp39,0.024150401
2097,CG13742,0.02413899
2468,CG14636,0.024135862
3756,CG30496,0.02413447
4704,CG34198,0.024130577
11967,S,0.02410708
433,Atg12,0.024085665
9475,Kr-h1,0.02408199
7245,CG9815,0.024080342
1529,CG12177,0.024077902
5307,CG42819,0.024075847
8135,Eaat2,0.024075538
12063,Scp2,0.024057403
6167,CG5665,0.024045516
9132,IA-2,0.024045112
13647,Zip42C.2,0.024042625
11806,RpL13,0.02402758
7941,Dlip1,0.024013398
3422,CG18789,0.024009697
7615,Csl4,0.023994755
10266,Myc,0.023973208
7207,CG9676,0.0239711
7686,Cyp18a1,0.023937482
3286,CG17982,0.023932245
8735,goe,0.023900103
4563,CG33752,0.023885319
5331,CG42854,0.023881244
9561,Lac,0.023821322
5190,CG42562,0.02377161
2442,CG14573,0.023761502
9658,Listericin,0.023745432
1152,CG10853,0.023742748
12315,slbo,0.02371708
1804,CG13067,0.023707343
7357,Cht9,0.023699468
7743,Cyp6a22,0.023690715
12236,shd,0.02368803
335,Arc2,0.023668932
13365,Uxt,0.023664301
1168,CG10910,0.023648987
755,cactin,0.023633711
2863,CG15642,0.023621583
8174,eEF1beta,0.023617782
4985,CG3902,0.023567801
8465,Fkbp59,0.02356338
13021,TpnC25D,0.023559334
10919,pain,0.023554856
5963,CG4927,0.023549732
9965,Mipp1,0.023549635
13217,U2A,0.023484113
7361,CIAPIN1,0.023483735
1615,CG12520,0.023477353
13026,TppII,0.023463853
8689,glec,0.02346126
2768,CG15412,0.023438962
2956,CG1632,0.023436867
1771,CG13026,0.023422424
11832,RpL35,0.02340661
1763,CG13014,0.023369964
13181,TwdlG,0.02335105
12128,SelR,0.023335852
1087,CG10570,0.023331394
10370,ND-B17,0.023329401
9941,mib1,0.023277601
5455,CG43222,0.023261873
644,bocks,0.023245325
13491,Vta1,0.023238912
12035,SCaMC,0.023224957
2982,CG1674,0.023223065
8041,drd,0.023221396
3803,CG31100,0.023198692
8658,Gfat1,0.023196762
3006,CG16815,0.023175515
456,ATP6,0.02316362
1260,CG1124,0.023159703
7114,CG9338,0.023158558
9363,Jon25Bii,0.02313207
3293,CG18004,0.023127954
3063,CG17036,0.023127908
9128,hzg,0.023111865
6342,CG6329,0.02311086
11771,roq,0.023103442
6619,CG7381,0.023091346
7483,COX5B,0.023088811
12504,Spindly,0.023070788
1104,CG10638,0.023063237
2743,CG15343,0.023056867
9162,IFT54,0.023054335
6198,CG5789,0.023042943
6018,CG5078,0.023040159
12002,sano,0.023039524
3962,CG31636,0.023026373
8870,GstE13,0.023021415
6274,CG6048,0.02301837
13441,vkg,0.023017615
6445,CG6762,0.023015173
10343,ND-18,0.023006152
11903,RpS30,0.022996634
7431,Coa8,0.02299625
2804,CG15497,0.022994382
9912,Mf,0.022983907
2623,CG15019,0.02298359
1200,CG11000,0.022973644
474,ATPsynF,0.022969682
6331,CG6293,0.022966346
11461,Pvf2,0.022959227
968,CG10140,0.022936767
8855,GstD1,0.022903223
5111,CG42346,0.022900986
11057,PGAP2,0.022898167
1411,CG11752,0.022891726
8458,Fit2,0.022889098
9926,MFS3,0.02288812
275,Ance-3,0.022869587
13110,Tsp42Ea,0.02286245
11551,Rae1,0.02286122
428,Atf3,0.022859568
1793,CG13054,0.022857502
3469,CG2076,0.022856012
12081,scyl,0.022847574
4273,CG32573,0.02283981
12544,spok,0.02283215
9199,inaF-B,0.022832146
9084,Hsc70-1,0.022816712
2577,CG14892,0.02281331
5778,CG45045,0.022809297
11411,Prx5,0.022791512
2580,CG14903,0.022786865
4812,CG34351,0.022786554
10267,Myd88,0.022762896
3933,CG31516,0.022753395
7556,Cpr66Cb,0.022752116
12008,Sap47,0.022748826
652,BomBc3,0.022743994
6020,CG5080,0.022739664
6071,CG5273,0.02272451
6367,CG6428,0.02272245
3185,CG17560,0.02272242
8496,FoxP,0.022719039
2988,CG16758,0.022699788
5093,CG42300,0.0226997
8430,Fer1HCH,0.02269667
11162,pinta,0.022686437
12636,stac,0.022679804
9188,ImpE1,0.02266444
9405,kay,0.022648841
10530,Non1,0.02263278
11116,PI31,0.022628214
10350,ND-30,0.02262358
9762,mag,0.022615718
4,Tissue_Bodies,0.022600943
1875,CG13227,0.022598865
4742,CG34244,0.02258045
11945,RtGEF,0.02257513
7682,Cyp12c1,0.022565586
12906,thetaTry,0.022563487
9990,mlt,0.022546636
472,ATPsynE,0.022535441
9155,Ids,0.022533912
1791,CG13051,0.022528015
6747,CG7881,0.02251423
6869,CG8298,0.022493318
11669,Rh2,0.022488719
8419,Fdx1,0.022483053
368,Arp8,0.022476882
4246,CG32473,0.022466486
4776,CG34291,0.02245414
8383,FANCI,0.022452952
5523,CG43349,0.022452774
11907,RpS5b,0.022439465
5992,CG5004,0.02242783
6223,CG5882,0.022404106
2908,CG15772,0.022398759
12844,Tbp,0.02239644
2698,CG15210,0.022384197
6518,CG7054,0.02238295
3661,CG30197,0.022367049
12100,se,0.022335768
7471,Corp,0.022307323
3193,CG17574,0.022286408
2362,CG14397,0.022268528
9734,lwr,0.022268193
13664,ZnT77C,0.022257712
9612,lectin-24A,0.022243317
10026,MP1,0.022236181
1256,CG11211,0.02222847
5133,CG42390,0.022208788
5498,CG4332,0.022205926
7594,CRIF,0.022196945
9148,Idgf4,0.022174112
3281,CG17931,0.022172369
13120,Tsp42Ek,0.022151973
8453,FipoQ,0.022144852
7766,Cys,0.02214386
7683,Cyp12d1-d,0.02213367
10045,Mrp4,0.022129433
7221,CG9723,0.022109732
5292,CG42797,0.022109475
13253,udd,0.022087034
10935,par-6,0.022085978
5707,CG44257,0.022077864
4580,CG33784,0.022074943
4378,CG3308,0.022072345
373,Arpc4,0.022062453
2103,CG13751,0.022061732
13421,VhaM9.7-b,0.022060458
8122,E(spl)mgamma-HLH,0.022054434
6880,CG8321,0.022040209
9059,hpo,0.022038931
10582,nrv2,0.02202944
11961,Rx,0.022027755
10716,Obp99c,0.022019455
13125,Tsp42Eq,0.022002166
9118,hui,0.021994168
11823,RpL27A,0.021978222
13193,TwdlT,0.02197055
6004,CG5037,0.021960929
2700,CG15212,0.021959307
11156,pigs,0.021951446
9628,Lfg,0.021947686
8782,Gr43a,0.021945184
8616,Gbp1,0.021936009
13088,Ts,0.021934954
10485,NiPp1,0.02191853
8358,exex,0.021915358
6247,CG5953,0.021905193
13370,Vajk1,0.021887979
6835,CG8170,0.021880358
12,14-3-3epsilon,0.021876698
7157,CG9512,0.021863658
7846,defl,0.021840503
5811,CG4537,0.021836407
8941,HDAC6,0.02183507
2647,CG15082,0.021832297
12004,santa-maria,0.02183013
6343,CG6330,0.021799808
7792,Dad1,0.021799546
167,agt,0.021793429
1714,CG12883,0.021770384
4163,CG32212,0.021754567
3845,CG31221,0.02175298
692,bru3,0.021739794
10914,pAbp,0.021733357
11808,RpL14,0.021726228
6084,CG5326,0.0217144
3807,CG31106,0.021709722
2387,CG14439,0.02170493
9806,mbf1,0.021687388
13117,Tsp42Eh,0.021683147
11766,roh,0.02167117
3716,CG30392,0.02166609
12267,SIFaR,0.021649195
5817,CG45487,0.021645194
13266,Ugt301D1,0.021641748
320,apn,0.021624546
9149,Idgf5,0.021622526
13314,Unc-89,0.021617826
12766,Syx17,0.021609623
7189,CG9628,0.02160303
11667,rgn,0.021596057
6047,CG5177,0.021591505
13239,ubl,0.021584453
473,ATPsynepsilonL,0.02157836
10907,p53,0.02156047
11022,Pex10,0.021559117
11807,RpL13A,0.0215526
6289,CG6125,0.021539468
155,Ag5r,0.021536082
11877,RpS11,0.02153504
12467,SP1173,0.02153058
5688,CG44142,0.021522759
3131,CG17264,0.02150976
5726,CG4440,0.021504674
8652,Gem2,0.021504447
11084,PH4alphaEFB,0.021495536
5773,CG4497,0.021493068
6647,CG7497,0.02148172
7046,CG9083,0.021462534
13665,ZnT86D,0.021459574
9125,Hydr2,0.021447191
12964,Tmhs,0.021446297
7394,Cln3,0.021438502
930,Cf2,0.021435605
8170,edl,0.021426091
11377,Prosalpha5,0.021418834
11778,RPA3,0.021414176
7859,Df31,0.02140958
13331,UQCR-14,0.021405322
13603,Yif1,0.021403845
11796,RpII33,0.02140268
7996,Dop2R,0.021389445
7914,Dip-C,0.021386541
11519,Rab32,0.02138636
4736,CG34232,0.021382047
6686,CG7639,0.021365931
8942,hdc,0.021365253
10713,Obp93a,0.021360582
3529,CG2641,0.021346252
9198,inaF-A,0.021328857
5326,CG42846,0.021326128
11895,RpS26,0.021321153
9857,MED28,0.021315973
13214,TyrRS,0.021302938
11205,plh,0.021299347
1183,CG10943,0.021294968
5281,CG42766,0.02129097
10260,Mvl,0.021279374
6204,CG5810,0.021267395
4037,CG31808,0.021267308
